brand_id,brand_name,rating,description
1,Brand 1,0.6,Picture newspaper financial not.
2,Brand 2,4.2,All understand those management future.
3,Brand 3,2.4,Who official two several.
4,Brand 4,2.4,High truth follow know.
5,Brand 5,3.5,Thought purpose mention then leader.
6,Brand 6,3.2,Population read woman type instead.
7,Brand 7,4.3,Treat can go power who film.
8,Brand 8,3.2,Enjoy husband maintain plant range off.
9,Brand 9,4.9,Cover bad ago part six assume.
10,Brand 10,4.1,Find road positive know.
11,Brand 11,0.6,Focus coach popular occur fine make.
12,Brand 12,0.4,Model decision shake before.
13,Brand 13,3.7,Fly often color group consider great growth.
14,Brand 14,3.7,Film hand training purpose between government PM.
15,Brand 15,1.2,Later mind institution avoid their.
16,Brand 16,3.3,Ball major rock may nearly instead teach evening.
17,Brand 17,3.4,Fear expect we during remain.
18,Brand 18,3.5,Everything I home inside.
19,Brand 19,3.9,Oil treatment fear walk everybody.
20,Brand 20,1.6,Technology summer form three same.
21,Brand 21,1.9,Might morning member sense sea create.
22,Brand 22,3.2,Total model attention story ago.
23,Brand 23,4.7,Rich well edge statement night job senior.
24,Brand 24,0.1,Water year director least.
25,Brand 25,2.0,Nor direction institution hair everybody.
26,Brand 26,4.6,Growth common subject deal idea rise structure.
27,Brand 27,1.9,My pass total purpose its part heart.
28,Brand 28,0.8,Doctor site recent structure.
29,Brand 29,3.7,Final policy development address data.
30,Brand 30,3.5,Person policy loss turn husband where training.
31,Brand 31,3.5,Policy live partner animal.
32,Brand 32,1.2,None statement behind structure pattern.
33,Brand 33,4.0,Its most change must easy.
34,Brand 34,0.4,Class money whatever only data politics.
35,Brand 35,2.2,Involve table story.
36,Brand 36,0.0,Yourself able impact reduce.
37,Brand 37,3.8,High another common.
38,Brand 38,0.7,Meet price simple know lead teacher cell be.
39,Brand 39,0.9,Write front part morning water thought term send.
40,Brand 40,1.2,Leg rich somebody there.
41,Brand 41,0.7,Money serve none I our wind Republican government.
42,Brand 42,2.7,Together season parent law minute include enter station.
43,Brand 43,0.7,Participant bring simply notice assume kind.
44,Brand 44,1.3,Throw land left entire.
45,Brand 45,4.8,Girl role section explain easy.
46,Brand 46,4.8,Husband adult give could watch.
47,Brand 47,1.5,Area ever admit sister.
48,Brand 48,4.3,Air mind the your tree.
49,Brand 49,0.1,Allow try agree evening late line.
50,Brand 50,2.2,People three occur civil ability foot type.
